title,authors,averageRating,ratingsCount,publishedDate,description,price,currency
N/A,,N/A,N/A,N/A,N/A,N/A,N/A
Toques de Desejo,"Abby Green, Annie West, Emma Darcy",N/A,N/A,2014-05-02,"NOITES DE PAIXÃO – ABBY GREEN O francês Pascal Lévêque é rico, belo e está de olho em Alana Cusack. A aparente inocência da repórter o deixa intrigado, afinal, ela já foi casada! Ele não sabe que a relação fora um engodo que apenas a deixara mais insegura. Mas ao se tornar amante de Pascal, ele a faz conhecer os prazeres da paixão... RUMOS DO CORAÇÃO – ANNIE WEST Sophie fica chocada quando Costas Palamidis aparece em sua casa, em Sydney. A filhinha dele sofre de uma grave doença, e Sophie é a única que pode ajudá-la. Ao se mudar para a luxuosa de Costas na Grécia, ela luta para resistir à atração. Mas após uma noite inesquecível, Sophie deverá decidir se abandona o homem por quem está se apaixonando ou se torna apenas a amante de Costas! ROMANCE TEMPORÁRIO – EMMA DARCY Durante um casamento, Tamalyn Haynes aceita dançar com Fletcher Stanton. Incansável quando se trata de conseguir o que deseja, seja no amor ou nos negócios, ele está decidido a seduzir a arredia Tammy.Mas quer apenas umcaso temporário. Contudo, as noites apaixonadas acabam resultando em algo muito mais comprometedor...",16.9,BRL
Cadernos de literatura brasileira,,N/A,N/A,2000,N/A,N/A,N/A
Amor às vezes,Ary Quintella,N/A,N/A,1987,N/A,N/A,N/A
Istoé dinheiro,,N/A,N/A,N/A,N/A,N/A,N/A
Veja,,N/A,N/A,2002,N/A,N/A,N/A
O árabe do futuro 2: Uma juventude no Oriente Médio (1984-1985),Riad Sattouf,N/A,N/A,2016-03-07,"Segundo volume da premiada trilogia O árabe do futuro, que narra a infância nada comum do quadrinista Riad Sattouf no Oriente Médio. No primeiro volume (1978-1984), o pequeno Riad, filho de pai sírio e mãe bretã, passou os primeiros anos de sua vida dividido entre a Líbia, a Bretanha e a Síria. Nesta sequência, ele narra os choques de seu primeiro ano como aluno de uma escola síria, onde enfim aprende a ler e escrever em árabe enquanto enfrenta um ambiente rígido e violento. Ele também conhece mais a fundo a família paterna e, apesar dos cabelos louros e das semanas de férias na França com a mãe, faz todo o possível para se tornar um verdadeiro sírio e encher o pai de orgulho. A vida no campo, a escola no pequeno vilarejo de Ter Maaleh, as incursões ao mercado negro na cidade grande, os jantares luxuosos com o parente que era general e as caminhadas nas ruínas áridas da antiga cidade de Palmira, conforme retratados no livro, são um impactante mergulho na realidade da então ditadura de Hafez Al-Assad na Síria. Muitas vezes comparado aos aclamados Maus e Persépolis, O árabe do futuro exibe uma visão reveladora sobre o conflito entre culturas que está definindo o século XXI. Com traço simples e narrativa fluida e divertida, Riad fornece ao mesmo tempo uma análise do embate entre o Ocidente e o mundo árabe e um autorretrato de uma infância tão plural e de cores tão fortes.",54.9,BRL
Bahia de todos os santos,Jorge Amado,N/A,N/A,1991,N/A,N/A,N/A
Melhores e maiores,,N/A,N/A,1975,N/A,N/A,N/A
Visão,,N/A,N/A,1992,N/A,N/A,N/A
"""O folião.""",Isis Valéria,N/A,N/A,1969,N/A,N/A,N/A
A ideologia do imperialismo,Sylvio Monteiro,N/A,N/A,1964,N/A,N/A,N/A
O seu primeiro milhão,Pedro Queiroga Carrilho,N/A,N/A,2013-11-04,"Em O seu primeiro milhão você encontrará uma série de conteúdos desenvolvidos para pensar a vida financeira dos brasileiros: desde informações básicas sobre economia, passando pela à descrição completa dos fundos de investimento e PPR, até os investimentos e aplicações mais adequadas aos tempos que vivemos e ao perfil de cada leitor. Chegou a hora de fazer uma pausa e pensar. O que é o dinheiro? Que valor lhe damos? O que podemos fazer para fazê-lo trabalhar para nós? Pedro Queiroga Carrilho, especializado em finanças pessoais, explica que mais importante do que o dinheiro que ganhamos é o dinheiro que conseguimos economizar e investir. Mas como? Por onde começar? Não perca mais tempo, faça suas economias e investimentos de retorno garantido e conquiste... O seu primeiro milhão.",13.99,BRL
Na luta,Eliane Maciel,N/A,N/A,1987,N/A,N/A,N/A
